sseqid	description	tax_id	tax_name	name_id
XP_046364311.2	transcription factor IIIB 90 kDa subunit-like	Haliotis rufescens	6454	LOC124140672
XP_029985031.1	transcription factor IIIB 90 kDa subunit-like	Sphaeramia orbicularis	375764	
KAH9809168.1				
KAF2764787.1				
KAI1285803.1				
KAA0157083.1				
KAJ3072496.1				
KAH6561247.1				
ORY41647.1				
GFO33143.1				
KAI9349747.1				
KAJ3065628.1				
KAJ3069144.1				
AAW25747.1				
KAJ3300242.1				
KAF2863370.1				
CAH3138835.1				
KAH0811001.1				
KAI8609160.1				
CAH8446417.1				
ESS68171.1				
CAD8052746.1				
KAF2897811.1				
CAG9563419.1				
CAH2099452.1				
CAG4974917.1				
XP_007677372.1	hypothetical protein	Baudoinia panamericana UAMH 10762	717646	
CAF0988202.1				
XP_019755179.1	proliferating cell nuclear antigen	Dendroctonus ponderosae	77166	LOC109534066
CAI6370435.1				
CAB3252707.1				
CAD7442714.1				
CAD7454929.1				
VDK36961.1				
KAG0437264.1				
KAG5519576.1				
CAG9565519.1				
XP_804250.1	"proliferative cell nuclear antigen (PCNA), putative"	Trypanosoma cruzi	5693	
CAG9568313.1				
KAJ8728532.1				
XP_820275.1	"proliferative cell nuclear antigen (PCNA), putative"	Trypanosoma cruzi	5693	
XP_033755738.1	tigger transposable element-derived protein 6-like	Pecten maximus	6579	LOC117338492
XP_050520008.1	tigger transposable element-derived protein 6-like	Daktulosphaira vitifoliae	58002	LOC126893647
XP_014662536.1	tigger transposable element-derived protein 6-like	Priapulus caudatus	37621	LOC106805461
KAI3384655.1				
XP_001713418.1				
XP_046680899.1	tigger transposable element-derived protein 6-like	Homalodisca vitripennis	197043	LOC124367816
CAG9565363.1				
CAF0988202.1				
XP_047984684.1	tigger transposable element-derived protein 6-like	Leguminivora glycinivorella	1035111	
KAG8185749.1				
KAF7685601.1				
XP_033639402.1				
CAD2139349.1				
XP_018229747.1	uncharacterized protein	Pneumocystis jirovecii RU7	1408657	
KFM64480.1				
CAD2198172.1				
CAD2170686.1				
TKR78097.1				
CAB3362097.1				
KAG5327266.1				
XP_022109326.1				
XP_033755738.1	tigger transposable element-derived protein 6-like	Pecten maximus	6579	LOC117338492
KAG5306070.1				
XP_054706166.1	probable dimethyladenosine transferase	Uloborus diversus	327109	LOC129216047
XP_015906694.1	probable dimethyladenosine transferase	Parasteatoda tepidariorum	114398	LOC107438829
KAG5328635.1				
CAB3402772.1				
CAI5445279.1				
XP_041475839.1	probable dimethyladenosine transferase	Lytechinus variegatus	7654	LOC121424278
KAF7270779.1				
XP_023028160.1				
KAG5666916.1				
CAI6376720.1				
CAH2099452.1				
CAI6374986.1				
XP_657192.1	"casein kinase, putative"	Entamoeba histolytica HM-1:IMSS	294381	
XP_041347231.1	tigger transposable element-derived protein 4-like	Gigantopelta aegis	1735272	LOC121367165
XP_046549186.1	tigger transposable element-derived protein 6-like	Haliotis rubra	36100	LOC124259135
XP_035212025.1	tigger transposable element-derived protein 6-like	Stegodyphus dumicola	202533	LOC118186108
XP_051173371.1				
XP_043467039.1	tigger transposable element-derived protein 4-like	Leptopilina heterotoma	63436	
XP_052071173.1	tigger transposable element-derived protein 4-like	Mytilus californianus	6549	
XP_057341772.1	tigger transposable element-derived protein 4-like	Microplitis mediator	375433	
XP_030006278.1	tigger transposable element-derived protein 6-like	Sphaeramia orbicularis	375764	
XP_033761525.1	tigger transposable element-derived protein 4-like	Pecten maximus	6579	LOC117343290
GBC10893.1				
CAF0988202.1				
XP_051784514.1	tigger transposable element-derived protein 6-like	Erpetoichthys calabaricus	27687	
XP_053390018.1	tigger transposable element-derived protein 4-like	Mercenaria mercenaria	6596	
XP_022172208.1	tigger transposable element-derived protein 6-like	Myzus persicae	13164	LOC111035030
GES96528.1				
VDO83222.1				
XP_021916826.1	tigger transposable element-derived protein 6-like	Zootermopsis nevadensis	136037	
CAI6370435.1				
XP_048738800.2	tigger transposable element-derived protein 4-like	Ostrea edulis	37623	
CAF1058709.1				
XP_039953998.1	tigger transposable element-derived protein 6-like	Bactrocera tryoni	59916	LOC120770522
XP_011424376.2				
XP_050530301.1	tigger transposable element-derived protein 6-like	Daktulosphaira vitifoliae	58002	LOC126899407
XP_054706871.1	tigger transposable element-derived protein 6-like	Uloborus diversus	327109	LOC129216678
CAI6374924.1				
EXX53800.1				
XP_008179528.1	tigger transposable element-derived protein 4	Acyrthosiphon pisum	7029	
XP_028677229.1	tigger transposable element-derived protein 4-like	Erpetoichthys calabaricus	27687	
KAI1003562.1				
WP_148708480.1				
WP_208967072.1				
XP_022306447.1				
XP_015913217.2	tigger transposable element-derived protein 4-like	Parasteatoda tepidariorum	114398	LOC107443765
CAF0988202.1				
KAG0442155.1				
XP_047505969.1	tigger transposable element-derived protein 6-like	Pieris napi	78633	
EXX53800.1				
CAE1162205.1				
XP_022290403.1	tigger transposable element-derived protein 6-like	Crassostrea virginica	6565	LOC111102041
KAG0433983.1				
XP_029635052.1	uncharacterized LOC115210589	Octopus sinensis	2607531	LOC115210589
KAG0430016.1				
KAJ3027973.1				
GBC10893.1				
GES96528.1				
CAB4441110.1				
BAL70615.1				
QUB02984.1				
EXX53800.1				
KAJ3293999.1				
XP_021916826.1	tigger transposable element-derived protein 6-like	Zootermopsis nevadensis	136037	
CAF0988202.1				
GBC39792.1				
KAG0442155.1				
GET03375.1				
GBC39967.1				
GBC29123.1				
GBC10893.1				
XP_008302761.1	tigger transposable element-derived protein 6-like	Stegastes partitus	144197	
PNH08933.1				
GES99300.1				
GES85818.1				
GES75791.1				
CAB4441110.1				
GES73500.1				
GES96528.1				
GBC29133.2				
GBC44118.1				
GES73452.1				
GBB87541.1				
KAI5152479.1				
XP_056017299.1	tigger transposable element-derived protein 6-like	Ostrea edulis	37623	
XP_004346806.1				
XP_033755738.1	tigger transposable element-derived protein 6-like	Pecten maximus	6579	LOC117338492
KAI5150356.1				
CAG5014532.1				
KAH9632963.1				
CAG4943732.1				
KAG0442155.1				
XP_030035295.2	tigger transposable element-derived protein 4-like	Manduca sexta	7130	
KAG0442155.1				
CAG5018593.1				
XP_026471616.1	tigger transposable element-derived protein 4-like	Ctenocephalides felis	7515	LOC113375884
XP_046976415.1	tigger transposable element-derived protein 4-like	Vanessa cardui	171605	
XP_046975185.1	tigger transposable element-derived protein 4-like	Vanessa cardui	171605	
XP_021916826.1				
CAG5022057.1				
XP_035231153.1				
XP_046978651.1	tigger transposable element-derived protein 4-like	Vanessa cardui	171605	
XP_041475419.1				
XP_049317006.1	tigger transposable element-derived protein 4-like	Bactrocera dorsalis	27457	LOC125779779
CAF0988202.1				
CAG9563419.1				
GBM91486.1				
KAF7685601.1				
KAF7685763.1				
CAG9565363.1				
CAG9568313.1				
CAG9565519.1				
KAG5326695.1				
CAI6376720.1				
XP_048248519.1	tigger transposable element-derived protein 6-like	Haliotis rufescens	6454	LOC125378012
KAI1716233.1				
XP_041347231.1	tigger transposable element-derived protein 4-like	Gigantopelta aegis	1735272	LOC121367165
XP_008179528.1	tigger transposable element-derived protein 4	Acyrthosiphon pisum	7029	
XP_035212025.1	tigger transposable element-derived protein 6-like	Stegodyphus dumicola	202533	LOC118186108
XP_001583409.1				
XP_001735831.1				
XP_050056126.1	tigger transposable element-derived protein 6-like	Aphis gossypii	80765	
XP_052071173.1	tigger transposable element-derived protein 4-like	Mytilus californianus	6549	
XP_046549186.1	tigger transposable element-derived protein 6-like	Haliotis rubra	36100	LOC124259135
XP_057336463.1				
XP_026816812.1	tigger transposable element-derived protein 4-like	Rhopalosiphum maidis	43146	LOC113556201
XP_051784514.1	tigger transposable element-derived protein 6-like	Erpetoichthys calabaricus	27687	
XP_008182065.1	tigger transposable element-derived protein 6-like	Acyrthosiphon pisum	7029	LOC103309140
XP_045465346.1	tigger transposable element-derived protein 6-like	Harmonia axyridis	115357	
XP_045474120.1	tigger transposable element-derived protein 6-like	Harmonia axyridis	115357	
XP_002735168.1	tigger transposable element-derived protein 6-like	Saccoglossus kowalevskii	10224	LOC100374421
UFQ87295.1				
WGH24690.1				
CAI6362121.1				
KAG0442155.1				
XP_028677229.1	tigger transposable element-derived protein 4-like	Erpetoichthys calabaricus	27687	
XP_050339345.1	tigger transposable element-derived protein 4-like	Bactrocera neohumeralis	98809	LOC126765680
XP_022172208.1	tigger transposable element-derived protein 6-like	Myzus persicae	13164	LOC111035030
XP_002734936.2	tigger transposable element-derived protein 6-like	Saccoglossus kowalevskii	10224	LOC100373863
XP_039953998.1	tigger transposable element-derived protein 6-like	Bactrocera tryoni	59916	LOC120770522
XP_050056126.1				
XP_050339345.1				
GBC10893.1				
KAG0442155.1				
XP_002737102.1	tigger transposable element-derived protein 6-like	Saccoglossus kowalevskii	10224	LOC100366466
EXX53800.1				
GES96528.1				
XP_045467026.1	tigger transposable element-derived protein 6-like	Harmonia axyridis	115357	
CAG4974917.1				
CAG9563419.1				
XP_033755738.1				
GES98302.1				
GBB84299.1				
CAF0801582.1				
GBC30136.2				
GES77640.1				
KAG0441503.1				
GES83582.1				
CAF4939503.1				
CAG4974917.1				
XP_022290403.1	tigger transposable element-derived protein 6-like	Crassostrea virginica	6565	LOC111102041
XP_052833729.1				
KAG0441503.1				
XP_047984684.1	tigger transposable element-derived protein 6-like	Leguminivora glycinivorella	1035111	
XP_047505969.1	tigger transposable element-derived protein 6-like	Pieris napi	78633	
GES94707.1				
CAF0801582.1				
XP_033755738.1	tigger transposable element-derived protein 6-like	Pecten maximus	6579	LOC117338492
XP_023237227.1	tigger transposable element-derived protein 4-like	Centruroides sculpturatus	218467	LOC111636250
GES87836.1				
XP_057340566.1	tigger transposable element-derived protein 6-like	Microplitis mediator	375433	
CAI6376720.1				
BAS01467.1				
XP_048248519.1	tigger transposable element-derived protein 6-like	Haliotis rufescens	6454	LOC125378012
WGH24606.1				
QXI88256.1				
WGH24606.1				
SCQ17353.1				
BAL70558.1				
WGH24777.1				
XP_041347231.1	tigger transposable element-derived protein 4-like	Gigantopelta aegis	1735272	LOC121367165
QUB02984.1				
GBC27473.2				
XP_035212025.1	tigger transposable element-derived protein 6-like	Stegodyphus dumicola	202533	LOC118186108
XP_022172208.1	tigger transposable element-derived protein 6-like	Myzus persicae	13164	LOC111035030
XP_033761525.1	tigger transposable element-derived protein 4-like	Pecten maximus	6579	LOC117343290
XP_008182065.1	tigger transposable element-derived protein 6-like	Acyrthosiphon pisum	7029	LOC103309140
XP_050056126.1	tigger transposable element-derived protein 6-like	Aphis gossypii	80765	
CAG9563419.1				
CAH2099452.1				
CAF1058709.1				
CAF0988202.1				
KAE9546906.1				
KAF0685318.1				
GES79076.1				
GBC39792.1				
BEI32551.1				
CAB5379649.1				
XP_033755738.1	tigger transposable element-derived protein 6-like	Pecten maximus	6579	LOC117338492
GBC27473.2				
WGH24777.1				
GBC30513.1				
KAG0441503.1				
MCG8079327.1				
XP_015913217.2	tigger transposable element-derived protein 4-like	Parasteatoda tepidariorum	114398	LOC107443765
XP_057340566.1	tigger transposable element-derived protein 6-like	Microplitis mediator	375433	
XP_033755738.1	tigger transposable element-derived protein 6-like	Pecten maximus	6579	LOC117338492
XP_014662536.1	tigger transposable element-derived protein 6-like	Priapulus caudatus	37621	LOC106805461
XP_056017299.1	tigger transposable element-derived protein 6-like	Ostrea edulis	37623	
CAI6376720.1				
XP_023721482.1				
XP_023310946.1				
XP_030006278.1	tigger transposable element-derived protein 6-like	Sphaeramia orbicularis	375764	
XP_008302761.1	tigger transposable element-derived protein 6-like	Stegastes partitus	144197	
XP_035212025.1	tigger transposable element-derived protein 6-like	Stegodyphus dumicola	202533	LOC118186108
CAH2099452.1				
KAH0818899.1				
XP_041347231.1	tigger transposable element-derived protein 4-like	Gigantopelta aegis	1735272	LOC121367165
XP_053390018.1	tigger transposable element-derived protein 4-like	Mercenaria mercenaria	6596	
XP_003739975.1	tigger transposable element-derived protein 4-like	Galendromus occidentalis	34638	LOC100905173
XP_014354320.1	tigger transposable element-derived protein 4-like	Latimeria chalumnae	7897	
XP_008182065.1	tigger transposable element-derived protein 6-like	Acyrthosiphon pisum	7029	LOC103309140
KAG0441503.1				
XP_045464477.1	tigger transposable element-derived protein 6-like	Harmonia axyridis	115357	
XP_045462918.1	tigger transposable element-derived protein 6-like	Harmonia axyridis	115357	
XP_054709229.1	tigger transposable element-derived protein 4-like	Uloborus diversus	327109	LOC129218934
UEN67756.1				
WFS79773.1				
THG00584.1				
KAF3488418.1				
PIO75665.1				
XP_054721308.1	tigger transposable element-derived protein 4-like	Uloborus diversus	327109	LOC129231086
XP_045480271.1	tigger transposable element-derived protein 6-like	Harmonia axyridis	115357	
RUS84279.1				
PFX29378.1				
RMX55275.1				
XP_033761525.1				
CAH3128429.1				
XP_045460187.1	tigger transposable element-derived protein 6-like	Harmonia axyridis	115357	
XP_033755738.1	tigger transposable element-derived protein 6-like	Pecten maximus	6579	LOC117338492
KAF7488175.1				
CAG2200956.1				
XP_048738800.2				
KFW93813.1				
XP_021695234.1				
XP_045461546.1				
YP_009440065.1	DNA-directed RNA polymberase subunit beta	Ulva prolifera	3117	
XP_015771271.1	DNA replication licensing factor mcm5-like	Acropora digitifera	70779	
UXI16989.1				
XP_022784329.1	DNA replication licensing factor mcm5-like	Stylophora pistillata	50429	LOC111324932
KAJ7357436.1				
XP_027039436.1	DNA replication licensing factor mcm5-A-like	Pocillopora damicornis	46731	LOC113667782
XP_045471847.1				
XP_020618458.1	DNA replication licensing factor mcm5-like	Orbicella faveolata	48498	LOC110056334
XP_033127896.1	DNA replication licensing factor MCM5-like	Anneissia japonica	1529436	LOC117125501
CAH3122309.1				
EDO48453.1				
EPZ31598.1				
XP_052698900.1	DNA replication licensing factor mcm5-like	Crassostrea angulata	558553	LOC128176531
GFO35249.1				
PAA62977.1				
XP_011451587.2	DNA replication licensing factor mcm5	Crassostrea gigas	29159	G11607
PAA54475.1				
PAA53338.1				
XP_009508156.1	minichromosome maintenance complex component 5	Phalacrocorax carbo	9209	
CAG9563419.1				
XP_057666631.1	eukaryotic translation initiation factor 5-like	Diorhabda carinulata	1163345	
XP_019857082.1	DNA-(apurinic or apyrimidinic site) lyase-like	Amphimedon queenslandica	400682	
XP_056644865.1	eukaryotic translation initiation factor 5-like	Diorhabda sublineata	1163346	
KAG5704968.1				
CAB4413281.1				
GES88184.1				
CAI9734586.1				
XP_041353778.1	eukaryotic translation initiation factor 5-like	Gigantopelta aegis	1735272	LOC121371740
XP_009026759.1	hypothetical protein	Helobdella robusta	6412	
CAG5133743.1				
XP_029211125.1	exodeoxyribonuclease-like	Acropora millepora	45264	LOC114975188
KAG4072661.1				
KAF0766989.1				
XP_053396970.1	exodeoxyribonuclease-like	Mercenaria mercenaria	6596	LOC123551510
XP_053396969.1	exodeoxyribonuclease-like	Mercenaria mercenaria	6596	LOC123551510
XP_014781537.1	eukaryotic translation initiation factor 5	Octopus bimaculoides	37653	LOC106877205
XP_053396972.1	exodeoxyribonuclease-like	Mercenaria mercenaria	6596	LOC123551510
XP_053396966.1	exodeoxyribonuclease-like	Mercenaria mercenaria	6596	LOC123551510
XP_029648565.1	eukaryotic translation initiation factor 5	Octopus sinensis	2607531	LOC115222480
XP_053396971.1	exodeoxyribonuclease-like	Mercenaria mercenaria	6596	LOC123551510
XP_053396954.1	exodeoxyribonuclease-like	Mercenaria mercenaria	6596	
KAE9537879.1				
CAH1738515.1				
XP_013393549.1	"DNA-directed RNA polymerase, mitochondrial"	Lingula anatina	7574	LOC106161215
WP_208967072.1				
XP_052071173.1				
XP_034183484.1	"DNA-directed RNA polymerase, mitochondrial"	Osmia lignaria	473952	
XP_029040441.2	"DNA-directed RNA polymerase, mitochondrial"	Osmia bicornis bicornis	1437191	ENSOBBG00005015996
XP_037024701.1	"DNA-directed RNA polymerase, mitochondrial"	Bradysia coprophila	38358	
XP_037024704.1	"DNA-directed RNA polymerase, mitochondrial"	Bradysia coprophila	38358	
XP_037024702.1	"DNA-directed RNA polymerase, mitochondrial"	Bradysia coprophila	38358	
XP_037024703.1	"DNA-directed RNA polymerase, mitochondrial"	Bradysia coprophila	38358	
CAG8521400.1				
UFQ87295.1				
CXI54084.1				
SCP06239.1				
XP_027848662.2	"DNA-directed RNA polymerase, mitochondrial"	Aphis gossypii	80765	
CAD2093544.1				
CAD2093539.1				
XP_050058950.1	"DNA-directed RNA polymerase, mitochondrial"	Aphis gossypii	80765	
XP_046610985.1	"DNA-directed RNA polymerase, mitochondrial"	Neodiprion virginianus	2961670	
RXM33061.1				
XP_014662536.1				
XP_030006278.1				
XP_021916826.1				
XP_046417575.1	"DNA-directed RNA polymerase, mitochondrial"	Neodiprion fabricii	2872261	
EUD73768.1				
XP_046589979.1	"DNA-directed RNA polymerase, mitochondrial"	Neodiprion lecontei	441921	ENSNLCG00000003864
XP_046589977.1	"DNA-directed RNA polymerase, mitochondrial"	Neodiprion lecontei	441921	ENSNLCG00000003864
XP_046472133.1	"DNA-directed RNA polymerase, mitochondrial"	Neodiprion pinetum	441929	LOC124214127
XP_046472135.1	"DNA-directed RNA polymerase, mitochondrial"	Neodiprion pinetum	441929	LOC124214127
XP_014665399.1	CCR4-NOT transcription complex subunit 1-like	Priapulus caudatus	37621	LOC106807548
CAD2107075.1				
SBS97661.1				
CAB3252707.1				
CAG4974917.1				
SBS87545.1				
SCM05068.1				
KEG03154.1				
XP_015913217.2				
SCM10979.1				
KPJ09996.1				
XP_016655613.1	"NOT family protein, putative"	Plasmodium chabaudi chabaudi	31271	
SCM07847.1				
XP_052071173.1				
XP_050056126.1				
KAF7685601.1				
KAJ8728532.1				
KAF7690743.1				
MDG2555389.1				
MDF4400764.1				
KAF7685763.1				
MBN3276316.1				
XP_009018098.1	hypothetical protein	Helobdella robusta	6412	
CAP09075.1				
XP_020617651.1	serine/threonine-protein kinase PLK4-like	Orbicella faveolata	48498	LOC110055603
CAF3465208.1				
CAG04378.1				
XP_053392888.1	cyclin-dependent kinase-like 2	Mercenaria mercenaria	6596	LOC123564278
OXA56016.1				
OXA48087.1				
CAG7827769.1				
OXA49580.1				
XP_053392871.1	cyclin-dependent kinase-like 2	Mercenaria mercenaria	6596	LOC123564278
CAG9565363.1				
KAI4886179.1				
KAI4880441.1				
KAI4897742.1				
CAA82360.1				
CAG5018692.1				
MBN3284851.1				
XP_054259576.1				
CAG9565519.1				
CAD2144434.1				
CAD2148896.1				
CAD2200905.1				
KAI6185886.1				
KAH7708545.1				
QUB02984.1				
QIC49965.1				
XP_031550126.1				
CAD2190790.1				
XP_046401937.1				
CAH1264148.1				
XP_047625152.1	"spectrin beta, non-erythrocytic 5"	Phacochoerus africanus	41426	ENSPNSG00000015689
XP_040082825.1	"spectrin beta, non-erythrocytic 5"	Oryx dammah	59534	
XP_055291885.1	"spectrin beta, non-erythrocytic 5"	Moschus berezovskii	68408	
PVD25646.1				
XP_020940552.1	"spectrin beta, non-erythrocytic 5"	Sus scrofa	9823	VGNC:103183
XP_035677796.1	"spectrin beta chain, non-erythrocytic 1-like"	Branchiostoma floridae	7739	
XP_035677805.1	"spectrin beta chain, non-erythrocytic 1-like"	Branchiostoma floridae	7739	
XP_035677777.1	"spectrin beta chain, non-erythrocytic 1-like"	Branchiostoma floridae	7739	
CAH1264147.1				
CAF1383055.1				
XP_035677771.1	"spectrin beta chain, non-erythrocytic 1-like"	Branchiostoma floridae	7739	
KAG1656715.1				
XP_035677677.1	"spectrin beta chain, non-erythrocytic 1-like"	Branchiostoma floridae	7739	
KAG1656713.1				
KAB0389128.1				
PWA28681.1				
AGS47777.1				
KHN82553.1				
KAH0812710.1				
OWZ23711.1				
KAF7685601.1				
POE74874.1				
XP_035677710.1	"spectrin beta chain, non-erythrocytic 1-like"	Branchiostoma floridae	7739	
XP_045328612.1	ubiquitin like modifier activating enzyme 1	Leopardus geoffroyi	46844	ENSFCTG00000002742
KAF4527307.1				
NP_001107844.1				
NXS42890.1				
KAG3280496.1				
XP_028524163.1				
UXI17168.1				
KAF7488599.1				
XP_011504783.1				
XP_045142410.1	myosin IE	Echinops telfairi	9371	
XP_053720869.1	unconventional myosin-IXb	Synchiropus splendidus	270530	
XP_034183485.1				
XP_053720905.1	unconventional myosin-IXb	Synchiropus splendidus	270530	
XP_053720879.1	unconventional myosin-IXb	Synchiropus splendidus	270530	
XP_053720860.1	unconventional myosin-IXb	Synchiropus splendidus	270530	
XP_053720852.1	unconventional myosin-IXb	Synchiropus splendidus	270530	
XP_040146951.1	myosin IF	Ictidomys tridecemlineatus	43179	ENSSTOG00015022555
XP_040568870.1	midasin-like	Lepeophtheirus salmonis	72036	LOC121118365
XP_057307925.1	midasin-like	Hydractinia symbiolongicarpus	13093	LOC130645838
XP_057307926.1	midasin-like	Hydractinia symbiolongicarpus	13093	LOC130645838
XP_057307769.1	midasin-like	Hydractinia symbiolongicarpus	13093	LOC130645704
XP_057307765.1	midasin-like	Hydractinia symbiolongicarpus	13093	LOC130645704
XP_026816664.1				
XP_025203606.1				
CRK87721.1				
XP_013416017.1				
CAD5111280.1				
XP_025832472.1	midasin	Agrilus planipennis	224129	LOC108743020
XP_047129281.1	midasin	Hydra vulgaris	6087	LOC100212580
XP_047129284.1	midasin	Hydra vulgaris	6087	LOC100212580
XP_025832475.1	midasin	Agrilus planipennis	224129	LOC108743020
KAJ6649912.1				
XP_034422054.1				
CAD7078668.1				
XP_046917653.1	midasin-like	Dermatophagoides farinae	6954	
KAH9389746.1				
KAI2804700.1				
KAJ6216859.1				
UXI14628.1				
KPM10648.1				
QEM21674.1				
XP_034190386.1	midasin	Osmia lignaria	473952	
CAD2107159.1				
KAH9413649.1				
XP_037926507.1	midasin	Hermetia illucens	343691	
XP_972555.3	midasin	Tribolium castaneum	7070	
PAA79531.1				
PAA58818.1				
CAD5115803.1				
XP_017465466.1	dnaJ homolog subfamily C member 13-like	Rhagoletis zephyria	28612	
XP_046915918.1	dnaJ homolog subfamily C member 13-like	Dermatophagoides farinae	6954	
KAI1292252.1				
XP_008623975.2				
KAJ7357846.1				
GIY06445.1				
QWL15230.1				
XP_053392884.1				
BAL70586.1				
KAI4841603.1				
KMZ83322.1				
XP_053202087.1	dnaJ homolog subfamily C member 13-like	Panonychus citri	50023	LOC128386980
XP_027203282.1	dnaJ homolog subfamily C member 13-like	Dermatophagoides pteronyssinus	6956	LOC113797145
XP_053392891.1				
UIC71726.1				
CAD7628154.1				
KAG8237411.1				
XP_055340824.1	dnaJ homolog subfamily C member 13-like	Paramacrobiotus metropolitanus	2943436	LOC129589919
XP_042910016.1	dnaJ homolog subfamily C member 13	Parasteatoda tepidariorum	114398	LOC107453078
KAI4469613.1				
GFX28332.1				
KAI2654293.1				
KAH8336131.1				
YP_009307932.1	"RNA polymerase beta subunit, putative"	Plasmodium malariae	5858	
XP_035216787.1	dnaJ homolog subfamily C member 13-like	Stegodyphus dumicola	202533	LOC118190218
XP_054167917.1	dnaJ homolog subfamily C member 13-like	Oppia nitens	1686743	LOC128965292
YP_010020682.1	DNA-directed RNA polymerase subunit beta	Ulva rigida	75689	
YP_010003275.1	NADH dehydrogenase subunit 2	Meteorus pulchricornis	51522	
KAE9552200.1				
RDD40270.1				
XP_034138635.1	puff-specific protein Bx42	Drosophila guanche	7266	LOC117590258
KAI8515063.1				
XP_034661552.1	puff-specific protein Bx42	Drosophila subobscura	7241	LOC117897061
CAH1263739.1				
XP_022208949.1	puff-specific protein Bx42	Drosophila obscura	7282	LOC111065211
XP_017145415.1	puff-specific protein Bx42	Drosophila miranda	7229	LOC108157743
CAH1263738.1				
KAI6212536.1				
XP_001354931.1	puff-specific protein Bx42	Drosophila pseudoobscura	7237	LOC4815146
XP_019641183.1	SNW domain-containing protein 1-like	Branchiostoma belcheri	7741	
XP_035677735.1				
XP_023237413.1	SNW domain-containing protein 1-like	Centruroides sculpturatus	218467	LOC111636397
XP_035677812.1				
XP_035677733.1				
GBM08550.1				
NP_001259370.1	Bx42	Drosophila melanogaster	7227	FBgn0004856
XP_034230857.1	puff-specific protein Bx42	Thrips palmi	161013	LOC117639375
KYQ93719.1				
QDZ23003.1				
XP_055613976.1	puff-specific protein Bx42	Uranotaenia lowii	190385	
XP_035665110.1	SNW domain-containing protein 1-like	Branchiostoma floridae	7739	
XP_037291086.1	SNW domain-containing protein 1-like	Rhipicephalus microplus	6941	LOC119186774
WBY57209.1				
XP_001648953.1	puff-specific protein Bx42	Aedes aegypti	7159	
EAA16324.1				
XP_037937660.1	puff-specific protein Bx42	Teleopsis dalmanni	139649	
CXI41067.1				
CAD2092169.1				
XP_032685505.1	puff-specific protein Bx42	Odontomachus brunneus	486640	
CAD2104795.1				
KAG4105351.1				
XP_003287529.1	hypothetical protein	Dictyostelium purpureum	5786	
SCM01855.1				
SCM00478.1				
XP_035677823.1				
EUD73007.1				
SCM08933.1				
CAF0731325.1				
CAF0748187.1				
SCM04660.1				
PFX24673.1				
CAD2092098.1				
KAG1656714.1				
XP_008624928.1	"guanylyl cyclase, putative"	Plasmodium vinckei vinckei	54757	
GJD09893.1				
XP_034421454.1	"guanylyl cyclase, putative"	Plasmodium berghei ANKA	5823	
XP_737504.2	"guanylyl cyclase, putative"	Plasmodium chabaudi chabaudi	31271	
CAF0842461.1				
XP_057307927.1				
CAF0988202.1				
CAH3160772.1				
YP_010530156.1	RNA polymerase b''-subunit	Ulva torta	932731	
XP_005708546.1	phospholipid-translocating P-type ATPase	Galdieria sulphuraria	130081	
XP_029635052.1	uncharacterized LOC115210589	Octopus sinensis	2607531	LOC115210589
KAG0442155.1				
CAH3132932.1				
XP_029831864.2	probable E3 ubiquitin-protein ligase HERC3	Ixodes scapularis	6945	LOC115316590
XP_034481050.1	probable E3 ubiquitin-protein ligase HERC4	Drosophila innubila	198719	LOC117786779
XP_029050308.2				
XP_005105124.1	probable E3 ubiquitin-protein ligase HERC4	Aplysia californica	6500	LOC101851139
KAG5680585.1				
CAG7668726.1				
XP_035827410.1	probable E3 ubiquitin-protein ligase HERC4	Aplysia californica	6500	LOC101851139
XP_029206578.1	probable E3 ubiquitin-protein ligase HERC4	Acropora millepora	45264	LOC114970318
XP_030385071.1	probable E3 ubiquitin-protein ligase HERC4	Scaptodrosophila lebanonensis	7225	
XP_030385069.1	probable E3 ubiquitin-protein ligase HERC4	Scaptodrosophila lebanonensis	7225	
KAH9516786.1				
KAI0242766.1				
XP_054919552.1	probable E3 ubiquitin-protein ligase HERC4	Dermacentor andersoni	34620	LOC126547999
XP_054919553.1	probable E3 ubiquitin-protein ligase HERC4	Dermacentor andersoni	34620	LOC126547999
XP_050052020.1	probable E3 ubiquitin-protein ligase HERC4	Dermacentor andersoni	34620	LOC126547999
CAD5114900.1				
CAD5114899.1				
KAJ8036694.1				
KAJ8312673.1				
XP_055373244.1	probable E3 ubiquitin-protein ligase HERC4	Condylostylus longicornis	2530218	
RWS13574.1				
OWF42267.1				
XP_049514109.1	probable E3 ubiquitin-protein ligase HERC4	Dermacentor silvarum	543639	LOC119436503
EFA12501.2				
XP_050408300.1	dynein axonemal heavy chain 10	Patella vulgata	6465	ENSPVUG00005004011
XP_038059349.1	"dynein heavy chain 10, axonemal-like"	Patiria miniata	46514	LOC119730483
XP_038059345.1	"dynein heavy chain 10, axonemal-like"	Patiria miniata	46514	LOC119730483
XP_033747927.1	"dynein heavy chain 10, axonemal-like"	Pecten maximus	6579	LOC117332951
XP_033747926.1	"dynein heavy chain 10, axonemal-like"	Pecten maximus	6579	LOC117332951
KAH7637658.1				
XP_033747928.1	"dynein heavy chain 10, axonemal-like"	Pecten maximus	6579	LOC117332951
XP_041423310.1	dynein axonemal heavy chain 10 L homeolog	Xenopus laevis	8355	XB-GENE-6487245
XP_041423308.1	dynein axonemal heavy chain 10 L homeolog	Xenopus laevis	8355	XB-GENE-6487245
